	model	prompt	F1	TP	TN	FP	FN	temperature	top_k	top_p	max_tokens	latency	prompt_tokens	completion_tokens	total_tokens
0	Qwen-0.5B	zeroshot	0.9024856596558316	236	213	37	14	0.0	5	0.1	200	0.17792	356.254	1.0	357.254
1	Qwen-0.5B	fewshot	0.7754137115839244	164	241	9	86	0.0	5	0.1	200	2.0394	1580.254	130.316	1710.57
2	Qwen-0.5B	dynamic-fewshot	0.7712418300653595	177	218	32	73	0.0	5	0.1	200	2.31596	1333.402	118.354	1451.756
3	Qwen-1.5B	zeroshot	0.934959349593496	230	238	12	20	0.0	5	0.1	200	0.63132	356.254	1.0	357.254
4	Qwen-1.5B	fewshot	0.9291666666666668	223	227	15	19	0.0	5	0.1	200	0.73706	1580.254	1.66	1581.914
5	Qwen-1.5B	dynamic-fewshot	0.9416846652267818	218	235	6	21	0.0	5	0.1	200	2.65044	1333.402	1.81	1335.212
6	Qwen-0.5B	chain-of-thought-instructions	0.8984375	230	218	32	20	0.0	5	0.1	200	0.1801	431.254	1.0	432.254
7	Qwen-0.5B	chain-of-thought-traditional	0.9098712446351932	212	226	14	28	0.0	5	0.1	200	1.4578	1277.254	95.12	1372.374
8	Qwen-1.5B	chain-of-thought-instructions	0.9416846652267818	218	235	5	22	0.0	5	0.1	200	0.58736	431.254	1.0	432.254
9	Qwen-1.5B	chain-of-thought-traditional	0.9278350515463918	225	217	21	14	0.0	5	0.1	200	3.58116	1277.254	73.146	1350.4
10	Qwen-0.5B	chain-of-thought-with-numeric-rating	0.9090909090909092	225	230	20	25	0.4	40	0.95	200	0.9747333333333332	1376.254	67.492	1443.746
11	Qwen-1.5B	chain-of-thought-with-numeric-rating	0.931237721021611	237	228	22	13	0.4	40	0.95	200	2.11896	1376.254	64.52	1440.774
12	Qwen-0.5B	chain-of-thought-rewatch-likelihood	0.8774703557312253	222	216	34	28	0.4	40	0.95	200	1.0060866666666666	1423.254	69.376	1492.63
13	Qwen-1.5B	chain-of-thought-rewatch-likelihood	0.9233791748526524	235	226	24	15	0.4	40	0.95	200	3.21952	1423.254	64.328	1487.582
14	Qwen-0.5B	zeroshot-numeric-rating-sentiment-analysis	0.8893129770992366	233	208	41	17	0.4	40	0.95	200	0.0739733333333333	371.254	1.014	372.268
15	Qwen-0.5B	keyword-based_sentiment_analysis	0.8476357267950964	242	170	79	8	0.0	5	0.1	200	3.14724	587.34	82.808	670.148
16	Qwen-1.5B	zeroshot-numeric-rating-sentiment-analysis	0.9383697813121272	236	232	17	14	0.4	40	0.95	200	0.27126	371.254	1.114	372.368
17	Qwen-1.5B	keyword-based_sentiment_analysis	0.87890625	225	210	37	25	0.0	5	0.1	200	3.27204	587.34	82.848	670.188
