	review	label	index	wordcount	length_bracket	prediction_zeroshot	Qwen-0.5B_zeroshot	prediction_fewshot	Qwen-0.5B_fewshot	prediction_fewshot-with-most-similar-examples	Qwen-0.5B_fewshot-with-most-similar-examples	Qwen-1.5B_zeroshot	Qwen-1.5B_fewshot	Qwen-1.5B_fewshot-with-most-similar-examples	review_dup	label_dup	wordcount_dup	length_bracket_dup	prediction_chain-of-thought-instructions	Qwen-0.5B_chain-of-thought-instructions	prediction_chain-of-thought-traditional	Qwen-0.5B_chain-of-thought-traditional	Qwen-1.5B_chain-of-thought-instructions	Qwen-1.5B_chain-of-thought-traditional	prediction_chain-of-thought-with-numeric-rating	Qwen-0.5B_chain-of-thought-with-numeric-rating	rating-Qwen-0.5B	Qwen-1.5B_chain-of-thought-with-numeric-rating	rating-Qwen-1.5B	prediction_chain-of-thought-rewatch-likelihood	Qwen-0.5B_chain-of-thought-rewatch-likelihood	likelihood_to_rewatch-Qwen-0.5B	Qwen-1.5B_chain-of-thought-rewatch-likelihood	likelihood_to_rewatch-Qwen-1.5B	prediction_rating-based_sentiment-analysis	Qwen-0.5B_rating-based_sentiment-analysis	rating-Qwen-0.5B_dup	prediction_keyword-based_sentiment_analysis	Qwen-0.5B_keyword-based_sentiment_analysis	key_phrases-Qwen-0.5B	Qwen-1.5B_rating-based_sentiment-analysis	rating-Qwen-1.5B_dup	Qwen-1.5B_keyword-based_sentiment_analysis	key_phrases-Qwen-1.5B
0	About 4 years ago, I liked this movie. I would watch it over and over and over. But now... I don't. Actually, I think this movie would have been great for Mystery Science Theater 3000. It has a bunch of comment-heavy actors (Macaulay Culkin, Christopher Lloyd, Patrick Stewart, Whoopi Goldberg), and a pretty cheesy plot. My favorite part is when Culkin is riding his bike and he comes across a gang and a gang member says, 'Hey, Tyler! Where ya goin'? The MOON??' Also look out for the classic line, 'Do you have feeling in your toes?'  On the other hand, it's better than 'The Good Son'.	0	121	107	1	0	FP	0.0	TN	0.0	TN	TN	TN	TN	About 4 years ago, I liked this movie. I would watch it over and over and over. But now... I don't. Actually, I think this movie would have been great for Mystery Science Theater 3000. It has a bunch of comment-heavy actors (Macaulay Culkin, Christopher Lloyd, Patrick Stewart, Whoopi Goldberg), and a pretty cheesy plot. My favorite part is when Culkin is riding his bike and he comes across a gang and a gang member says, 'Hey, Tyler! Where ya goin'? The MOON??' Also look out for the classic line, 'Do you have feeling in your toes?'  On the other hand, it's better than 'The Good Son'.	0	107	1	0	FP	0.0	FP	TN	TN	1	TN	4.333333333333333	FP	5.666666666666667	0	FP	7.333333333333333	TN	2.0	0	FP	5.333333333333333	1.0	FP	"- ""I liked this movie""
- ""I would watch it over and over and over""
- ""I don't""
- ""I think this movie would have been great for Mystery Science Theater 3000""
- ""It has a bunch of comment-heavy actors""
- ""It has a pretty cheesy plot""
- ""My favorite part is when Culkin is riding his bike""
- ""Also look out for the classic line""
- ""It's better than 'The Good Son'"""	TN	4.0	FP	"- ""I liked this movie""
- ""I would watch it over and over and over""
- ""I don't""
- ""I think this movie would have been great for Mystery Science Theater 3000""
- ""It has a bunch of comment-heavy actors""
- ""It has a pretty cheesy plot""
- ""My favorite part is when Culkin is riding his bike""
- ""Also look out for the classic line""
- ""It's better than 'The Good Son'"""
1	In 2054 Paris, Avalon, a computer generated system, controls the city and when a young woman is kidnapped, detective Karas (Craig) must go against Avalon to find her.  Renaissance is a splendid blend of film making mixed with a conceptual futuristic narrative that lights up the screen in a shocking manor with a noir themed ideology and conceptual montages that should delight many.  Pixar are the animation masters. Their numerous Oscar winning films are endless from the charming Toy Story to the mystifying Wall-E and so any company or director has a real challenge to knock them of their perch. Renaissance isn't a film aimed for the young audience though, and like 2007's Persepolis, brings a strong and mature approach to the genre of animation to make an older and more challenging film to its targeted older generation.  In 2005 Robert Rodriguez released a shockingly brilliant noir Sin City that shook up the whole usage of green screen with a splendid balance of filming in black and white with the odd spurts of colour and a year later, Christian Volckman took up a similar approach with this equally visually masterful stroke of film making.  Volckman's picture however is a full on animation but it doesn't half look realistic for the majority of it's strong 1 hour and 40 minutes of running time. The faces of the character's are well portrayed and in particular, this film has got to be the finest ever for the usage of shadow. The fact we never know if its night or day is irrelevant when simply gazing into the stony faces as the shadows blend across their expressions. It is almost a clever use of pathetic fallacy, and is finely directed also.  For anyone who has seen Persepolis you will have come to the conclusion it is one of the finest directed animations ever screened for the simple but highly conceptual artistic style by Marjane Satrapi  Renaissance is equally on terms with that picture and in many instances rivals it with stronger graphics and a darker tone to reflect the mood. One scene in particular when Karas appears out of darkness is beautifully shot.  The narrative revolves around a stubborn and nosey political government who keeps tabs on every citizen. The running of Paris is down to the mysterious Avalon which we don't see nearly enough to get an essence of its true dominance. Renaissance is controlling the narrative around a tired cop's attempts to rescue the mysterious woman, and then we see Craig's tired and boring cop attempt a rescue whilst battling with other elements. There are many things wrong with the scripting, not to mention the tired exasperated cop routine is now old, but there is plenty of dashing adrenaline and springy banter between characters to keep it alive right till a wonderfully shot shocking last couple of stages.	1	143	476	6	1	TP	1.0	FN	1.0	TP	TP	TP	TP	In 2054 Paris, Avalon, a computer generated system, controls the city and when a young woman is kidnapped, detective Karas (Craig) must go against Avalon to find her.  Renaissance is a splendid blend of film making mixed with a conceptual futuristic narrative that lights up the screen in a shocking manor with a noir themed ideology and conceptual montages that should delight many.  Pixar are the animation masters. Their numerous Oscar winning films are endless from the charming Toy Story to the mystifying Wall-E and so any company or director has a real challenge to knock them of their perch. Renaissance isn't a film aimed for the young audience though, and like 2007's Persepolis, brings a strong and mature approach to the genre of animation to make an older and more challenging film to its targeted older generation.  In 2005 Robert Rodriguez released a shockingly brilliant noir Sin City that shook up the whole usage of green screen with a splendid balance of filming in black and white with the odd spurts of colour and a year later, Christian Volckman took up a similar approach with this equally visually masterful stroke of film making.  Volckman's picture however is a full on animation but it doesn't half look realistic for the majority of it's strong 1 hour and 40 minutes of running time. The faces of the character's are well portrayed and in particular, this film has got to be the finest ever for the usage of shadow. The fact we never know if its night or day is irrelevant when simply gazing into the stony faces as the shadows blend across their expressions. It is almost a clever use of pathetic fallacy, and is finely directed also.  For anyone who has seen Persepolis you will have come to the conclusion it is one of the finest directed animations ever screened for the simple but highly conceptual artistic style by Marjane Satrapi  Renaissance is equally on terms with that picture and in many instances rivals it with stronger graphics and a darker tone to reflect the mood. One scene in particular when Karas appears out of darkness is beautifully shot.  The narrative revolves around a stubborn and nosey political government who keeps tabs on every citizen. The running of Paris is down to the mysterious Avalon which we don't see nearly enough to get an essence of its true dominance. Renaissance is controlling the narrative around a tired cop's attempts to rescue the mysterious woman, and then we see Craig's tired and boring cop attempt a rescue whilst battling with other elements. There are many things wrong with the scripting, not to mention the tired exasperated cop routine is now old, but there is plenty of dashing adrenaline and springy banter between characters to keep it alive right till a wonderfully shot shocking last couple of stages.	1	476	6	1	TP	1.0		TP	TP	1	TP	10.0	TP	8.0	1	TP	10.0	TP	8.333333333333334	1	TP	9.0	1.0	TP	"- ""shocking manor""
- ""splendid blend of film making""
- ""conceptual futuristic narrative""
- ""shockingly brilliant""
- ""conceptual animation""
- ""conceptual montages""
- ""conceptual artistic style""
- ""beautifully shot""
- ""tired and boring cop attempt""
- ""tired exasperated cop routine""
- ""wonderfully shot shocking last couple of stages"""	TP	8.0	TP	"- ""shocking manor""
- ""splendid blend of film making""
- ""conceptual futuristic narrative""
- ""shockingly brilliant""
- ""conceptual animation""
- ""conceptual montages""
- ""conceptual artistic style""
- ""beautifully shot""
- ""tired and boring cop attempt""
- ""tired exasperated cop routine""
- ""wonderfully shot shocking last couple of stages"""
2	When Jan Svankmajer lets his imagination run wild, get ready. You're in for dark, harrowing films like 'Alice' and 'Little Otik,' or short gems such as 'Down to the Cellar' and 'Jabberwocky.' All of those are excellent films that represent disturbing, surrealistic film-making at its best.  On the other hand, when Svankmajer attempts to make a political statement of any kind, you're advised to leave the room in a hurry. Svankmajer's films in this vein tend to be both adolescent and preachy, presenting straw-man caricatures in repetitious fashion to express his pseudo-brilliant insights.  'Lunacy,' unfortunately, is very much this latter type of movie. Cartoonish ideas and characters are stretched paper-thin for an appalling two hours. There are a few moments that briefly hold interest, but these few oases are separated by vast deserts of boredom.  If you found Svankmajer's dreadful, monotonous short film 'Et Cetera' brilliant and hilarious, you'll probably love 'Lunacy.' If you've never seen a Svankmajer film before, please start elsewhere.	0	157	163	3	0	TN	0.0	TN	0.0	FP	TN	TN	TN	When Jan Svankmajer lets his imagination run wild, get ready. You're in for dark, harrowing films like 'Alice' and 'Little Otik,' or short gems such as 'Down to the Cellar' and 'Jabberwocky.' All of those are excellent films that represent disturbing, surrealistic film-making at its best.  On the other hand, when Svankmajer attempts to make a political statement of any kind, you're advised to leave the room in a hurry. Svankmajer's films in this vein tend to be both adolescent and preachy, presenting straw-man caricatures in repetitious fashion to express his pseudo-brilliant insights.  'Lunacy,' unfortunately, is very much this latter type of movie. Cartoonish ideas and characters are stretched paper-thin for an appalling two hours. There are a few moments that briefly hold interest, but these few oases are separated by vast deserts of boredom.  If you found Svankmajer's dreadful, monotonous short film 'Et Cetera' brilliant and hilarious, you'll probably love 'Lunacy.' If you've never seen a Svankmajer film before, please start elsewhere.	0	163	3	0	TN	0.0	TN	TN	TN	0	TN	1.0	TN	2.6666666666666665	0	TN	1.0	TN	1.0	0	FP	5.666666666666667	1.0	FP	"- ""dark, harrowing""
- ""disturbing, surrealistic""
- ""advised to leave the room in a hurry""
- ""adolescent and preachy""
- ""straw-man caricatures""
- ""vast deserts of boredom""
- ""brilliant and hilarious""
- ""please start elsewhere"""	TN	3.3333333333333335	FP	"- ""dark, harrowing""
- ""disturbing, surrealistic""
- ""advised to leave the room in a hurry""
- ""adolescent and preachy""
- ""straw-man caricatures""
- ""vast deserts of boredom""
- ""brilliant and hilarious""
- ""please start elsewhere"""
3	The whole Biker Movie genre has to be made up of the worst films ever made. This one delivers a lot of fighting, generous amounts of blood, bikers fighting Indians, and a shanty town that gets blown up and torn down one shack at a time. The acting is beyond terrible. What ever happened to Robert Walker, Jr.? At one point he was in some major studio productions, and then he just faded away. This movie really blows, but if you have not seen a Biker movie in a long time, it is a good one to watch. At the end of the movie, you should feel a bit trashy for having watched it!	0	158	114	1	0	TN	0.0	TN	0.0	TN	TN	TN	TN	The whole Biker Movie genre has to be made up of the worst films ever made. This one delivers a lot of fighting, generous amounts of blood, bikers fighting Indians, and a shanty town that gets blown up and torn down one shack at a time. The acting is beyond terrible. What ever happened to Robert Walker, Jr.? At one point he was in some major studio productions, and then he just faded away. This movie really blows, but if you have not seen a Biker movie in a long time, it is a good one to watch. At the end of the movie, you should feel a bit trashy for having watched it!	0	114	1	0	TN	0.0	TN	TN	TN	0	TN	1.0	TN	1.0	0	TN	1.0	TN	2.0	0	TN	4.666666666666667	0.0	TN	"- ""worst films ever made""
- ""beyond terrible""
- ""really blows""
- ""trashy"""	TN	2.3333333333333335	TN	"- ""worst films ever made""
- ""beyond terrible""
- ""really blows""
- ""trashy"""
4	I am a huge Gone With the Wind fan, and I read 'Scarlett' before it was a miniseries and loved it. This is a sequel of sorts. Like you didn't expect it with that 'Frankly dear, I don't give a damn' ending. Timothy Dalton was great as Rhett, though no one will ever replace Clark Gable. Joann Whaley-Kilmer, on the other hand, could give Vivien Leigh a run for her money (though I feel almost guilty even saying that.) Her attitude and presence in the film fits the character to a tee, making you love and hate her at the same time, which is how most feel about Ms. Leigh's portrayal as well. The film does move slowly, mostly because it follows the book so closely and was not released as a feature film. Excellent choice on the producer's part. I think this movie deserves some recognition for the great storyline, the revival of characters that had been gone for almost 50 years, and for being something that even Margaret Mitchell herself could have been proud of.	1	159	177	3	1	TP	1.0	FN	1.0	FN	TP	TP	TP	I am a huge Gone With the Wind fan, and I read 'Scarlett' before it was a miniseries and loved it. This is a sequel of sorts. Like you didn't expect it with that 'Frankly dear, I don't give a damn' ending. Timothy Dalton was great as Rhett, though no one will ever replace Clark Gable. Joann Whaley-Kilmer, on the other hand, could give Vivien Leigh a run for her money (though I feel almost guilty even saying that.) Her attitude and presence in the film fits the character to a tee, making you love and hate her at the same time, which is how most feel about Ms. Leigh's portrayal as well. The film does move slowly, mostly because it follows the book so closely and was not released as a feature film. Excellent choice on the producer's part. I think this movie deserves some recognition for the great storyline, the revival of characters that had been gone for almost 50 years, and for being something that even Margaret Mitchell herself could have been proud of.	1	177	3	1	TP	1.0	TP	TP	TP	1	TP	8.666666666666666	TP	9.0	1	TP	10.0	TP	10.0	1	TP	9.0	1.0	TP	"- ""huge Gone With the Wind fan""
- ""loved it""
- ""great as Rhett""
- ""great storyline""
- ""revival of characters""
- ""something that even Margaret Mitchell herself could have been proud of"""	TP	8.0	TP	"- ""huge Gone With the Wind fan""
- ""loved it""
- ""great as Rhett""
- ""great storyline""
- ""revival of characters""
- ""something that even Margaret Mitchell herself could have been proud of"""
5	A good film, and one I'll watch a number of times. Rich (the previous commenter)is right: there is much more going on here than is clear from the title boards, and I have to wonder how much has suffered in translation. Were there more in the original? Or was a native-language audience expected to lip-read more? Or -- since the screenplay was written by the author of the novel on which this was based -- was this a currently popular story with which the audience was already very familiar? In short, very worth a look, but it probably requires more work from contemporary viewers than the original 1913 audience had to put into it.  The Alpha Video release touts the new organ score, but the music is not matched to the story progression in any way. Sure, it starts promisingly, but degenerates into a repetitive, Phillip-Glass-like monotony that reflects nothing of the action on the screen. After listening for a while, I turned off the sound and simply watched: much better!	1	171	171	3	1	FN	1.0	TP	1.0	FN	TP	TP	TP	A good film, and one I'll watch a number of times. Rich (the previous commenter)is right: there is much more going on here than is clear from the title boards, and I have to wonder how much has suffered in translation. Were there more in the original? Or was a native-language audience expected to lip-read more? Or -- since the screenplay was written by the author of the novel on which this was based -- was this a currently popular story with which the audience was already very familiar? In short, very worth a look, but it probably requires more work from contemporary viewers than the original 1913 audience had to put into it.  The Alpha Video release touts the new organ score, but the music is not matched to the story progression in any way. Sure, it starts promisingly, but degenerates into a repetitive, Phillip-Glass-like monotony that reflects nothing of the action on the screen. After listening for a while, I turned off the sound and simply watched: much better!	1	171	3	1	FN	1.0	TP	TP	TP	1	TP	5.666666666666667	TP	8.0	1	TP	7.0	TP	8.666666666666666	1	TP	5.333333333333333	1.0	TP	"- ""good film""
- ""I'll watch a number of times""
- ""very worth a look""
- ""requires more work from contemporary viewers""
- ""degenerates into a repetitive, Phillip-Glass-like monotony""
- ""much better"""	TP	6.666666666666667	TP	"- ""good film""
- ""I'll watch a number of times""
- ""very worth a look""
- ""requires more work from contemporary viewers""
- ""degenerates into a repetitive, Phillip-Glass-like monotony""
- ""much better"""
6	Yes, you can look at Babette's Feast as some sort of slap at Puritanical Christianity, but it is much more than that. The surface story of how a gifted Parisian cook flees Paris after one of its revolutions by the middle classes and finds herself cast ashore in Jutland in the north of Denmark is simply the grease that allows the deeper tale to develop.  Babette is an artist, one of the small army of people who are driven from pillar to post over the centuries by fatuous politicians, vane, greedy and arrogant, who kill beauty for profit, something that politics always does, pace National Endowment for the Arts, which simply institutionalizes creativity for propaganda purposes.  Babette is on her last legs as she arrives in the tiny village where two virginal sisters reside seeing over their diminishing flock of devotees to their late pastor father. They live on salt cod and black bread gruel.  Babette shows these simple pious people that God is in pleasure and sensuality as well as behavioral and mental purity. She also shows them how that mental purity can lead to control freakishness, something we all know about in these days of the neo-authoritarians in government who would limit our personal freedoms because they are somehow a crime against the state, or as they would tell us, humanity.  Babette cooks up a bang-up French dinner to celebrate the 100th birthday of the late reverend. The daughters and their flock think it is the devil come amongst them and vow not to notice the food or drink.  It is at this point, in the preparing of the meal, payed for by Babette's winnings in a French lottery, that I begin to tear-up. It is a poignance brought about in comparison to the daily vulgarity and mendacity that floods our consciousness from morning to night via the media and power-mongers manoeuvring to gain advantage over all of us out here in the dark.  The simple sophistication of Babette's art spits in the face of all the pretentiousness on display in our modern society, and it hurts to watch it played out so exquisitely in this splendid film.  It is, along with Fanny och Alexander (Bergman), my favorite film ever, yet I can only watch it once in awhile because, like a rare bottle of wine served with Blinis and fresh oysters, it is something that must not be over-done.  A great, great film that should be in every movie-lover's library.	1	172	413	6	1	TP	1.0	TP	1.0	TP	TP	TP	TP	Yes, you can look at Babette's Feast as some sort of slap at Puritanical Christianity, but it is much more than that. The surface story of how a gifted Parisian cook flees Paris after one of its revolutions by the middle classes and finds herself cast ashore in Jutland in the north of Denmark is simply the grease that allows the deeper tale to develop.  Babette is an artist, one of the small army of people who are driven from pillar to post over the centuries by fatuous politicians, vane, greedy and arrogant, who kill beauty for profit, something that politics always does, pace National Endowment for the Arts, which simply institutionalizes creativity for propaganda purposes.  Babette is on her last legs as she arrives in the tiny village where two virginal sisters reside seeing over their diminishing flock of devotees to their late pastor father. They live on salt cod and black bread gruel.  Babette shows these simple pious people that God is in pleasure and sensuality as well as behavioral and mental purity. She also shows them how that mental purity can lead to control freakishness, something we all know about in these days of the neo-authoritarians in government who would limit our personal freedoms because they are somehow a crime against the state, or as they would tell us, humanity.  Babette cooks up a bang-up French dinner to celebrate the 100th birthday of the late reverend. The daughters and their flock think it is the devil come amongst them and vow not to notice the food or drink.  It is at this point, in the preparing of the meal, payed for by Babette's winnings in a French lottery, that I begin to tear-up. It is a poignance brought about in comparison to the daily vulgarity and mendacity that floods our consciousness from morning to night via the media and power-mongers manoeuvring to gain advantage over all of us out here in the dark.  The simple sophistication of Babette's art spits in the face of all the pretentiousness on display in our modern society, and it hurts to watch it played out so exquisitely in this splendid film.  It is, along with Fanny och Alexander (Bergman), my favorite film ever, yet I can only watch it once in awhile because, like a rare bottle of wine served with Blinis and fresh oysters, it is something that must not be over-done.  A great, great film that should be in every movie-lover's library.	1	413	6	1	TP	1.0	TP	TP	TP	1	TP	10.0	TP	9.666666666666666	1	FN	4.0	TP	10.0	1	TP	8.333333333333334	1.0	TP	"- ""slap at Puritanical Christianity""
- ""poignance""
- ""tear-up""
- ""poignant""
- ""spits in the face""
- ""great, great film""
- ""should be in every movie-lover's library"""	TP	9.0	TP	"- ""slap at Puritanical Christianity""
- ""poignance""
- ""tear-up""
- ""poignant""
- ""spits in the face""
- ""great, great film""
- ""should be in every movie-lover's library"""
7	It took me a while to find this movie since they don't have it yet on DVD (and my VCR is not worth hooking up again). I guess all the referencing to drug use is too much for some folks. But I found a decent bootleg on Ebay and I must say that anyone who takes this movie too seriously is just retarded. It is a slap stick spoof in the vein of 'Airplane.' I must say that when I watched it on Showtime or Spotlight growing up in the 80s, I enjoyed the humor a whole lot more then, than I do now. But it's definitely worth watching just to see what they(i.e., movie makers) were able to get away with before the 'Just Say No' hypocrites unleashed their propaganda. sing...'We are all on drugs' hahaha It's a silly film and worth the $10 I paid off of Ebay to get it on DVD just don't even think about comparing it to the original - that's just plain stupid. What are you high?	1	177	174	3	0	FN	0.0	FN	0.0	FN	FN	FN	FN	It took me a while to find this movie since they don't have it yet on DVD (and my VCR is not worth hooking up again). I guess all the referencing to drug use is too much for some folks. But I found a decent bootleg on Ebay and I must say that anyone who takes this movie too seriously is just retarded. It is a slap stick spoof in the vein of 'Airplane.' I must say that when I watched it on Showtime or Spotlight growing up in the 80s, I enjoyed the humor a whole lot more then, than I do now. But it's definitely worth watching just to see what they(i.e., movie makers) were able to get away with before the 'Just Say No' hypocrites unleashed their propaganda. sing...'We are all on drugs' hahaha It's a silly film and worth the $10 I paid off of Ebay to get it on DVD just don't even think about comparing it to the original - that's just plain stupid. What are you high?	1	174	3	0	FN	0.0	FN	FN	FN	0	FN	2.6666666666666665	FN	4.333333333333333	0	TP	10.0	FN	2.0	0	FN	3.6666666666666665	0.0	TP	"- ""slap stick spoof""
- ""retarded""
- ""silly film""
- ""worth the $10 I paid off of Ebay to get it on DVD""
- ""plain stupid""
- ""Just Say No"""	FN	3.3333333333333335	FN	"- ""slap stick spoof""
- ""retarded""
- ""silly film""
- ""worth the $10 I paid off of Ebay to get it on DVD""
- ""plain stupid""
- ""Just Say No"""
8	Having loved 'Paris, Je T'aime', I highly anticipated this film and I admit I went in with high expectations, but was sorely disappointed for a number of reasons.  Although, I was not expecting a re-make of 'Paris' in New York I was expecting the same structure. What I liked about 'Paris' was the breakup of the neighborhoods. You got a sense of each directors style and the story they wanted to tell. In 'NY', there is no clear separation of the stories, at different points in the film, characters from different stories run into each other which made me confused as to who I was watching and what exactly was going on. Also, the switch in directing was evident but confusing since there was no flow.  Another thing I loved about the 'Paris' film was the different takes on love. It wasn't all romantic. There was love between parents and their children, unrequited love, a lonely, middle-aged woman yearning for love etc., it explored so many layers of the complexity of love between humans. 'NY' seemed to only go for an edgy, over-the-top sexuality. There were some redeemable shorts (the older couple having spent a lifetime together, Julie Christie's short), but overall the'NY' film didn't evoke any emotion for me. I didn't connect with any of the characters like I did with 'Paris'. I remember watching 'Paris' and feeling a deep sadness, loneliness, yearning, hopefulness, wonder... it just had so much soul. For me, there was no soul in the 'NY' film.  Maybe if I had gone into it without having 'Paris' looming in the back of my brain as a comparison this film might have elicited a more favorable response, but as a self-titled re-take of 'Paris, Je T'aime' I was sorely disappointed.	0	179	294	5	0	TN	0.0	TN	0.0	TN	TN	TN	TN	Having loved 'Paris, Je T'aime', I highly anticipated this film and I admit I went in with high expectations, but was sorely disappointed for a number of reasons.  Although, I was not expecting a re-make of 'Paris' in New York I was expecting the same structure. What I liked about 'Paris' was the breakup of the neighborhoods. You got a sense of each directors style and the story they wanted to tell. In 'NY', there is no clear separation of the stories, at different points in the film, characters from different stories run into each other which made me confused as to who I was watching and what exactly was going on. Also, the switch in directing was evident but confusing since there was no flow.  Another thing I loved about the 'Paris' film was the different takes on love. It wasn't all romantic. There was love between parents and their children, unrequited love, a lonely, middle-aged woman yearning for love etc., it explored so many layers of the complexity of love between humans. 'NY' seemed to only go for an edgy, over-the-top sexuality. There were some redeemable shorts (the older couple having spent a lifetime together, Julie Christie's short), but overall the'NY' film didn't evoke any emotion for me. I didn't connect with any of the characters like I did with 'Paris'. I remember watching 'Paris' and feeling a deep sadness, loneliness, yearning, hopefulness, wonder... it just had so much soul. For me, there was no soul in the 'NY' film.  Maybe if I had gone into it without having 'Paris' looming in the back of my brain as a comparison this film might have elicited a more favorable response, but as a self-titled re-take of 'Paris, Je T'aime' I was sorely disappointed.	0	294	5	0	TN	0.0	TN	TN	TN	0	TN	1.0	TN	2.3333333333333335	0	TN	3.6666666666666665	TN	4.0	0	TN	3.6666666666666665	0.0	TN	"- Disappointed
- Confused
- No emotion
- Soulless
- No connection"	TN	4.0	TN	"- Disappointed
- Confused
- No emotion
- Soulless
- No connection"
9	I read somewhere (in a fairly panning review) that this is something of a live-action mecha anime, and I think they're on the right lines. I first watched this movie when I was very young and I've been dying to see it again, and when I finally did just recently all the memories came flooding back. I don't think this is to be taken too seriously - it's just a bit of good old 80's almost-a-TV-movie fun (it is set against the backdrop of a fairly dark future, although this point isn't stressed too much). What I admired most about this movie was that the dialogue didn't sound generic - no clichés, no predictable lines - all in all just good fun! Maybe time hasn't been kind to this little movie, but still I can find appreciation for it in me. It's by no means perfect, but it's entertaining and doesn't try to be anything other than that. Let the nerds and comic-store-guys worry about technicalities - who cares? See it for yourself and make your own decision. No-one else's opinion matters.	1	181	182	3	1	TP	1.0	TP	1.0	TP	TP	TP	TP	I read somewhere (in a fairly panning review) that this is something of a live-action mecha anime, and I think they're on the right lines. I first watched this movie when I was very young and I've been dying to see it again, and when I finally did just recently all the memories came flooding back. I don't think this is to be taken too seriously - it's just a bit of good old 80's almost-a-TV-movie fun (it is set against the backdrop of a fairly dark future, although this point isn't stressed too much). What I admired most about this movie was that the dialogue didn't sound generic - no clichés, no predictable lines - all in all just good fun! Maybe time hasn't been kind to this little movie, but still I can find appreciation for it in me. It's by no means perfect, but it's entertaining and doesn't try to be anything other than that. Let the nerds and comic-store-guys worry about technicalities - who cares? See it for yourself and make your own decision. No-one else's opinion matters.	1	182	3	1	TP	1.0	TP	TP	TP	1	TP	8.333333333333334	TP	7.666666666666667	1	TP	10.0	TP	8.0	1	TP	8.333333333333334	1.0	TP	"- ""live-action mecha anime""
- ""good old 80's almost-a-TV-movie fun""
- ""good fun""
- ""nerds and comic-store-guys worry about technicalities""
- ""technicalities""
- ""nerds and comic-store-guys"""	TP	7.0	TP	"- ""live-action mecha anime""
- ""good old 80's almost-a-TV-movie fun""
- ""good fun""
- ""nerds and comic-store-guys worry about technicalities""
- ""technicalities""
- ""nerds and comic-store-guys"""
